name,allegiance,season,episode,location,killer,killers_house,method,death_no
Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),579
Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),580
Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),581
Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),582
Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),583
Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),584
Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),585
Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),586
Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),587
Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),588
Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Daenerys Targaryen,House Targaryen,Teeth (Dragon),589
Unsullied Soldier,House Targaryen,5,9,Meereen,Sons of the Harpy agent,Sons of the Harpy,Sword,590
Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Jorah Mormont,House Targaryen,Sword,591
Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Daario Naharis,House Targaryen,Arakh,592
Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Daario Naharis,House Targaryen,Sword,593
Selyse Florent,House Baratheon of Dragonstone,5,10,Kingsroad,Selyse Florent,House Baratheon of Dragonstone,Rope,594
Stannis Baratheon,House Baratheon of Dragonstone,5,10,Winterfell,Brienne of Tarth,House Tarth,Sword,595
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,5,10,Winterfell,Ramsay Bolton,House Bolton,Sword,596
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,5,10,Winterfell,Ramsay Bolton,House Bolton,Sword,597
Myranda Royce,House Bolton,5,10,Winterfell,Reek,House Bolton,Falling,598
Meryn Trant,House Lannister,5,10,Braavos,Arya Stark,House Stark,Knife,599
Jaqen H'ghar,Faceless Men,5,10,Braavos,Jaqen H'ghar,Faceless Men,Poison,600
Myrcella,House Lannister,5,10,Dorne,Ellaria Sand,House Martell,Poison,601
Jon Snow,Night's Watch,5,10,Castle Black,Olly,Night's Watch,Knife,602
Bolton soldier,House Bolton,6,1,Winterfell,Brienne of Tarth,House Tarth,Sword,603
Bolton soldier,House Bolton,6,1,Winterfell,Brienne of Tarth,House Tarth,Sword,604
Bolton soldier,House Bolton,6,1,Winterfell,Podrick Payne,House Tarth,Sword,605
Bolton soldier,House Bolton,6,1,Winterfell,Brienne of Tarth,House Tarth,Knife,606
Bolton soldier,House Bolton,6,1,Winterfell,Reek,House Bolton,Sword,607
Doran Martell,House Martell,6,1,Dorne,Ellaria Sand,House Martell,Knife,608
Areo Hotah,House Martell,6,1,Dorne,Tyene Sand,House Martell,Knife,609
Trystane Martell,House Martell,6,1,King's Landing,Obara Sand,House Martell,Spear,610
Night's Watch brother,Night's Watch,6,2,Castle Black,Tormund,Free Folk,Sword,611
Night's Watch brother,Night's Watch,6,2,Castle Black,Wun Wun,Free Folk,Hands,612
Peasant,Smallfolk,6,2,King's Landing,"Gregor ""the Mountain"" Clegane",House Lannister,Hands,613
Roose Bolton,House Bolton,6,2,Winterfell,Ramsay Bolton,House Bolton,Knife,614
Walda Frey,House Bolton,6,2,Winterfell,Ramsay Bolton,House Bolton,Dogs,615
Bolton heir,House Bolton,6,2,Winterfell,Ramsay Bolton,House Bolton,Dogs,616
Balon Greyjoy,House Greyjoy,6,2,Iron Islands,Euron Greyjoy,House Greyjoy,Hands,617
Stark soldier,House Stark,6,3,Dorne,Oswell Whent,House Targaryen,Sword,618
Oswell Whent,House Targaryen,6,3,Dorne,Ned Stark,House Stark,Sword,619
Stark soldier,House Stark,6,3,Dorne,Arthur Dayne,House Targaryen,Sword,620
Stark soldier,House Stark,6,3,Dorne,Arthur Dayne,House Targaryen,Sword,621
Stark soldier,House Stark,6,3,Dorne,Arthur Dayne,House Targaryen,Sword,622
Arthur Dayne,House Targaryen,6,3,Dorne,Ned Stark,House Stark,Sword,623
Bowen Marsh,Night's Watch,6,3,Castle Black,Jon Snow,House Stark,Noose,624
Othell Yarwyck,Night's Watch,6,3,Castle Black,Jon Snow,House Stark,Noose,625
Alliser Thorne,Night's Watch,6,3,Castle Black,Jon Snow,House Stark,Noose,626
Olly,Night's Watch,6,3,Castle Black,Jon Snow,House Stark,Noose,627
Dothraki man,Dothraki,6,4,Vaes Dothrak,Daario Naharis,House Targaryen,Hands,628
Dothraki man,Dothraki,6,4,Vaes Dothrak,Daario Naharis,House Targaryen,Knife,629
Osha,House Stark,6,4,Winterfell,Ramsay Bolton,House Bolton,Knife,630
Khal Moro,Dothraki,6,4,Vaes Dothrak,Daenerys Targaryen,House Targaryen,Fire,631
Dothraki Khal,Dothraki,6,4,Vaes Dothrak,Daenerys Targaryen,House Targaryen,Fire,632
Dothraki Khal,Dothraki,6,4,Vaes Dothrak,Daenerys Targaryen,House Targaryen,Fire,633
Dothraki Khal,Dothraki,6,4,Vaes Dothrak,Daenerys Targaryen,House Targaryen,Fire,634
Dothraki Khal,Dothraki,6,4,Vaes Dothrak,Daenerys Targaryen,House Targaryen,Fire,635
Dothraki Khal,Dothraki,6,4,Vaes Dothrak,Daenerys Targaryen,House Targaryen,Fire,636
Dothraki Khal,Dothraki,6,4,Vaes Dothrak,Daenerys Targaryen,House Targaryen,Fire,637
Dothraki Khal,Dothraki,6,4,Vaes Dothrak,Daenerys Targaryen,House Targaryen,Fire,638
Dothraki Khal,Dothraki,6,4,Vaes Dothrak,Daenerys Targaryen,House Targaryen,Fire,639
Dothraki Khal,Dothraki,6,4,Vaes Dothrak,Daenerys Targaryen,House Targaryen,Fire,640
Dothraki Khal,Dothraki,6,4,Vaes Dothrak,Daenerys Targaryen,House Targaryen,Fire,641
Dothraki Khal,Dothraki,6,4,Vaes Dothrak,Daenerys Targaryen,House Targaryen,Fire,642
Dothraki Khal,Dothraki,6,4,Vaes Dothrak,Daenerys Targaryen,House Targaryen,Fire,643
Dothraki Khal,Dothraki,6,4,Vaes Dothrak,Daenerys Targaryen,House Targaryen,Fire,644
Dothraki Khal,Dothraki,6,4,Vaes Dothrak,Daenerys Targaryen,House Targaryen,Fire,645
Child of the Forest,Children of the Forest,6,5,Beyond the Wall,Wight,White Walkers,Axe,646
Child of the Forest,Children of the Forest,6,5,Beyond the Wall,Wight,White Walkers,Teeth,647
Child of the Forest,Children of the Forest,6,5,Beyond the Wall,Wight,White Walkers,Sword,648
Child of the Forest,Children of the Forest,6,5,Beyond the Wall,White Walker,White Walkers,Sword,649
Summer,House Stark,6,5,Beyond the Wall,Wight,White Walkers,Sword,650
Three-eyed Raven,Children of the Forest,6,5,Beyond the Wall,White Walker,White Walkers,Sword,651
Leaf,Children of the Forest,6,5,Beyond the Wall,Wight,White Walkers,Sword,652
Hodor,House Stark,6,5,Beyond the Wall,Wight,White Walkers,Hands,653
Brother Ray,Faith of the Seven,6,7,Riverlands,Lem Lemoncloak,Brotherhood Without Banners,Noose,654
Brotherhood Without Banners Member,Brotherhood Without Banners,6,8,Riverlands,"Sandor ""the Hound"" Clegane",House Clegane,Axe,655
Brotherhood Without Banners Member,Brotherhood Without Banners,6,8,Riverlands,"Sandor ""the Hound"" Clegane",House Clegane,Axe,656
Brotherhood Without Banners Member,Brotherhood Without Banners,6,8,Riverlands,"Sandor ""the Hound"" Clegane",House Clegane,Axe,657
Brotherhood Without Banners Member,Brotherhood Without Banners,6,8,Riverlands,"Sandor ""the Hound"" Clegane",House Clegane,Axe,658
Faith Militant Brother,Faith Militant,6,8,King's Landing,"Gregor ""the Mountain"" Clegane",House Clegane,Hands,659
Brotherhood Without Banners Member,Brotherhood Without Banners,6,8,Riverlands,"Sandor ""the Hound"" Clegane",House Clegane,Noose,660
Lem Lemoncloak,Brotherhood Without Banners,6,8,Riverlands,Beric Dondarrion,Brotherhood Without Banners,Noose,661
Brotherhood Without Banners Member,Brotherhood Without Banners,6,8,Riverlands,"Sandor ""the Hound"" Clegane",House Clegane,Noose,662
Meereen citizen,None,6,9,Meereen,The Masters Soldier,The Masters,Catapult,663
Meereen citizen,None,6,9,Meereen,The Masters Soldier,The Masters,Catapult,664
Meereen citizen,None,6,9,Meereen,The Masters Soldier,The Masters,Catapult,665
Meereen citizen,None,6,9,Meereen,Sons of the Harpy agent,Sons of the Harpy,Sword,666
Meereen citizen,None,6,9,Meereen,Sons of the Harpy agent,Sons of the Harpy,Sword,667
Meereen citizen,None,6,9,Meereen,Sons of the Harpy agent,Sons of the Harpy,Sword,668
Meereen citizen,None,6,9,Meereen,Sons of the Harpy agent,Sons of the Harpy,Sword,669
Meereen citizen,None,6,9,Meereen,Sons of the Harpy agent,Sons of the Harpy,Sword,670
Meereen citizen,None,6,9,Meereen,Sons of the Harpy agent,Sons of the Harpy,Sword,671
Meereen citizen,None,6,9,Meereen,Sons of the Harpy agent,Sons of the Harpy,Sword,672
Meereen citizen,None,6,9,Meereen,Sons of the Harpy agent,Sons of the Harpy,Sword,673
Meereen citizen,None,6,9,Meereen,Sons of the Harpy agent,Sons of the Harpy,Sword,674
Meereen citizen,None,6,9,Meereen,Sons of the Harpy agent,Sons of the Harpy,Sword,675
Meereen citizen,None,6,9,Meereen,Sons of the Harpy agent,Sons of the Harpy,Sword,676
Sons of the Harpy agent,Sons of the Harpy,6,9,Meereen,Daario Naharis,House Targaryen,Arakh,677
The Masters Soldier,The Masters,6,9,Meereen,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),678
The Masters Soldier,The Masters,6,9,Meereen,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),679
The Masters Soldier,The Masters,6,9,Meereen,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),680
The Masters Soldier,The Masters,6,9,Meereen,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),681
The Masters Soldier,The Masters,6,9,Meereen,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),682
The Masters Soldier,The Masters,6,9,Meereen,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),683
The Masters Soldier,The Masters,6,9,Meereen,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),684
The Masters Soldier,The Masters,6,9,Meereen,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),685
The Masters Soldier,The Masters,6,9,Meereen,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),686
The Masters Soldier,The Masters,6,9,Meereen,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),687
The Masters Soldier,The Masters,6,9,Meereen,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),688
The Masters Soldier,The Masters,6,9,Meereen,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),689
Belicho Paenymion,The Masters,6,9,Meereen,Grey Worm,House Targaryen,Knife,690
Razdal mo Eraz,The Masters,6,9,Meereen,Grey Worm,House Targaryen,Knife,691
Rickon Stark,House Stark,6,9,Winterfell,Ramsay Bolton,House Bolton,Arrow,692
Bolton soldier,House Bolton,6,9,Winterfell,Stark Soldier,House Stark,Spear,693
Stark Soldier,House Stark,6,9,Winterfell,Bolton soldier,House Bolton,Spear,694
Stark Soldier,House Stark,6,9,Winterfell,Bolton soldier,House Bolton,Sword,695
Bolton soldier,House Bolton,6,9,Winterfell,Bolton soldier,House Bolton,Arrow,696
Stark Soldier,House Stark,6,9,Winterfell,Bolton soldier,House Bolton,Arrow,697
Bolton soldier,House Bolton,6,9,Winterfell,Bolton soldier,House Bolton,Arrow,698
Bolton soldier,House Bolton,6,9,Winterfell,Jon Snow,House Stark,Sword,699
Bolton soldier,House Bolton,6,9,Winterfell,Jon Snow,House Stark,Sword,700
Stark Soldier,House Stark,6,9,Winterfell,Bolton soldier,House Bolton,Arrow,701
Stark Soldier,House Stark,6,9,Winterfell,Bolton soldier,House Bolton,Arrow,702
Stark Soldier,House Stark,6,9,Winterfell,Bolton soldier,House Bolton,Arrow,703
Bolton soldier,House Bolton,6,9,Winterfell,Jon Snow,House Stark,Sword,704
Bolton soldier,House Bolton,6,9,Winterfell,Jon Snow,House Stark,Sword,705
Stark Soldier,House Stark,6,9,Winterfell,Bolton soldier,House Bolton,Arrow,706
Bolton soldier,House Bolton,6,9,Winterfell,Jon Snow,House Stark,Sword,707
Stark Soldier,House Stark,6,9,Winterfell,Bolton soldier,House Bolton,Arrow,708
Bolton soldier,House Bolton,6,9,Winterfell,Jon Snow,House Stark,Sword,709
Bolton soldier,House Bolton,6,9,Winterfell,Jon Snow,House Stark,Sword,710
Stark Soldier,House Stark,6,9,Winterfell,Bolton soldier,House Bolton,Arrow,711
Bolton soldier,House Bolton,6,9,Winterfell,Stark Soldier,House Stark,Spear,712
Stark Soldier,House Stark,6,9,Winterfell,Bolton soldier,House Bolton,Arrow,713
Stark Soldier,House Stark,6,9,Winterfell,Bolton soldier,House Bolton,Arrow,714
Stark Soldier,House Stark,6,9,Winterfell,Bolton soldier,House Bolton,Arrow,715
Stark Soldier,House Stark,6,9,Winterfell,Bolton soldier,House Bolton,Arrow,716
Stark Soldier,House Stark,6,9,Winterfell,Bolton soldier,House Bolton,Arrow,717
Stark Soldier,House Stark,6,9,Winterfell,Bolton soldier,House Bolton,Arrow,718
Stark Soldier,House Stark,6,9,Winterfell,Bolton soldier,House Bolton,Arrow,719
Bolton soldier,House Bolton,6,9,Winterfell,Jon Snow,House Stark,Sword,720
Bolton soldier,House Bolton,6,9,Winterfell,Jon Snow,House Stark,Sword,721
Bolton soldier,House Bolton,6,9,Winterfell,Jon Snow,House Stark,Sword,722
Stark Soldier,House Stark,6,9,Winterfell,Bolton soldier,House Bolton,Arrow,723
Stark Soldier,House Stark,6,9,Winterfell,Bolton soldier,House Bolton,Arrow,724
Stark Soldier,House Stark,6,9,Winterfell,Bolton soldier,House Bolton,Arrow,725
Stark Soldier,House Stark,6,9,Winterfell,Bolton soldier,House Bolton,Arrow,726
Stark Soldier,House Stark,6,9,Winterfell,Bolton soldier,House Bolton,Arrow,727
Bolton soldier,House Bolton,6,9,Winterfell,Stark Soldier,House Stark,Sword,728
Stark Soldier,House Stark,6,9,Winterfell,Bolton soldier,House Bolton,Arrow,729
Stark Soldier,House Stark,6,9,Winterfell,Bolton soldier,House Bolton,Arrow,730
Stark Soldier,House Stark,6,9,Winterfell,Bolton soldier,House Bolton,Arrow,731
Stark Soldier,House Stark,6,9,Winterfell,Bolton soldier,House Bolton,Arrow,732
Stark Soldier,House Stark,6,9,Winterfell,Bolton soldier,House Bolton,Arrow,733
Bolton soldier,House Bolton,6,9,Winterfell,Jon Snow,House Stark,Sword,734
Bolton soldier,House Bolton,6,9,Winterfell,Jon Snow,House Stark,Sword,735
Bolton soldier,House Bolton,6,9,Winterfell,Jon Snow,House Stark,Sword,736
Stark Soldier,House Stark,6,9,Winterfell,Bolton soldier,House Bolton,Sword,737
Bolton soldier,House Bolton,6,9,Winterfell,Jon Snow,House Stark,Sword,738
Stark Soldier,House Stark,6,9,Winterfell,Bolton soldier,House Bolton,Sword,739
Bolton soldier,House Bolton,6,9,Winterfell,Jon Snow,House Stark,Sword,740
Stark Soldier,House Stark,6,9,Winterfell,Bolton soldier,House Bolton,Sword,741
Bolton soldier,House Bolton,6,9,Winterfell,Jon Snow,House Stark,Sword,742
Bolton soldier,House Bolton,6,9,Winterfell,Tormund,Free Folk,Sword,743
Wildling,Free Folk,6,9,Winterfell,Bolton soldier,House Bolton,Spear,744
Wildling,Free Folk,6,9,Winterfell,Bolton soldier,House Bolton,Spear,745
Wildling,Free Folk,6,9,Winterfell,Bolton soldier,House Bolton,Spear,746
Wildling,Free Folk,6,9,Winterfell,Bolton soldier,House Bolton,Spear,747
Stark Soldier,House Stark,6,9,Winterfell,Smalljon Umber,House Umber,Sword,748
Stark Soldier,House Stark,6,9,Winterfell,Umber Soldier,House Umber,Sword,749
Bolton soldier,House Bolton,6,9,Winterfell,Jon Snow,House Stark,Sword,750
Bolton soldier,House Bolton,6,9,Winterfell,Wun Wun,Free Folk,Hands,751
Bolton soldier,House Bolton,6,9,Winterfell,Tormund,Free Folk,Sword,752
Bolton soldier,House Bolton,6,9,Winterfell,Jon Snow,House Stark,Sword,753
Stark Soldier,House Stark,6,9,Winterfell,Smalljon Umber,House Umber,Sword,754
Stark Soldier,House Stark,6,9,Winterfell,Smalljon Umber,House Umber,Sword,755
Stark Soldier,House Stark,6,9,Winterfell,Bolton soldier,House Bolton,Sword,756
Bolton soldier,House Bolton,6,9,Winterfell,Stark Soldier,House Stark,Sword,757
Bolton soldier,House Bolton,6,9,Winterfell,Wildling,Free Folk,Sword,758
Stark Soldier,House Stark,6,9,Winterfell,Smalljon Umber,House Umber,Sword,759
Bolton soldier,House Bolton,6,9,Winterfell,Jon Snow,House Stark,Sword,760
Bolton soldier,House Bolton,6,9,Winterfell,Wun Wun,Free Folk,Hands,761
Wildling,Free Folk,6,9,Winterfell,Bolton soldier,House Bolton,Spear,762
Wildling,Free Folk,6,9,Winterfell,Bolton soldier,House Bolton,Spear,763
Wildling,Free Folk,6,9,Winterfell,Bolton soldier,House Bolton,Sword,764
Bolton soldier,House Bolton,6,9,Winterfell,Tormund,Free Folk,Sword,765
Stark Soldier,House Stark,6,9,Winterfell,Umber Soldier,House Umber,Sword,766
Wildling,Free Folk,6,9,Winterfell,Bolton soldier,House Bolton,Spear,767
Wildling,Free Folk,6,9,Winterfell,Bolton soldier,House Bolton,Spear,768
Wildling,Free Folk,6,9,Winterfell,Bolton soldier,House Bolton,Spear,769
Stark Soldier,House Stark,6,9,Winterfell,Smalljon Umber,House Umber,Sword,770
Bolton soldier,House Bolton,6,9,Winterfell,Jon Snow,House Stark,Sword,771
Smalljon Umber,House Umber,6,9,Winterfell,Tormund,Free Folk,Knife,772
Bolton soldier,House Bolton,6,9,Winterfell,Knights of the Vale,House Arryn,Sword,773
Bolton soldier,House Bolton,6,9,Winterfell,Knights of the Vale,House Arryn,Sword,774
Bolton soldier,House Bolton,6,9,Winterfell,Knights of the Vale,House Arryn,Sword,775
Bolton soldier,House Bolton,6,9,Winterfell,Knights of the Vale,House Arryn,Sword,776
Stark Soldier,House Stark,6,9,Winterfell,Bolton soldier,House Bolton,Arrow,777
Bolton soldier,House Bolton,6,9,Winterfell,Stark Soldier,House Stark,Arrow,778
Stark Soldier,House Stark,6,9,Winterfell,Bolton soldier,House Bolton,Arrow,779
Stark Soldier,House Stark,6,9,Winterfell,Bolton soldier,House Bolton,Arrow,780
Stark Soldier,House Stark,6,9,Winterfell,Bolton soldier,House Bolton,Arrow,781
Bolton soldier,House Bolton,6,9,Winterfell,Stark Soldier,House Stark,Arrow,782
Wildling,Free Folk,6,9,Winterfell,Bolton soldier,House Bolton,Arrow,783
Bolton soldier,House Bolton,6,9,Winterfell,Stark Soldier,House Stark,Arrow,784
Bolton soldier,House Bolton,6,9,Winterfell,Stark Soldier,House Stark,Arrow,785
Bolton soldier,House Bolton,6,9,Winterfell,Stark Soldier,House Stark,Arrow,786
Bolton soldier,House Bolton,6,9,Winterfell,Stark Soldier,House Stark,Arrow,787
Bolton soldier,House Bolton,6,9,Winterfell,Stark Soldier,House Stark,Arrow,788
Bolton soldier,House Bolton,6,9,Winterfell,Stark Soldier,House Stark,Arrow,789
Bolton soldier,House Bolton,6,9,Winterfell,Stark Soldier,House Stark,Arrow,790
Bolton soldier,House Bolton,6,9,Winterfell,Stark Soldier,House Stark,Arrow,791
Bolton soldier,House Bolton,6,9,Winterfell,Stark Soldier,House Stark,Arrow,792
Bolton soldier,House Bolton,6,9,Winterfell,Wildling,Free Folk,Hands,793
Wun Wun,Free Folk,6,9,Winterfell,Ramsay Bolton,House Bolton,Arrow,794
Ramsay Bolton,House Bolton,6,9,Winterfell,Bolton Hound,House Bolton,Teeth,795
Grand Maester Pycelle,Order of Maesters,6,10,King's Landing,Little Bird,House Lannister,Knife,796
Lancel Lannister,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,797
High Sparrow,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,798
King's Landing Noble,None,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,799
King's Landing Noble,None,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,800
King's Landing Noble,None,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,801
King's Landing Noble,None,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,802
King's Landing Noble,None,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,803
King's Landing Noble,None,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,804
King's Landing Noble,None,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,805
King's Landing Noble,None,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,806
King's Landing Noble,None,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,807
King's Landing Noble,None,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,808
King's Landing Noble,None,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,809
King's Landing Noble,None,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,810
King's Landing Noble,None,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,811
King's Landing Noble,None,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,812
King's Landing Noble,None,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,813
King's Landing Noble,None,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,814
King's Landing Noble,None,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,815
Peasant,Smallfolk,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,816
Peasant,Smallfolk,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,817
Peasant,Smallfolk,6,10,King's Landing,Cersei Lannister,House Lannister,Bell,818
Peasant,Smallfolk,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,819
Peasant,Smallfolk,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,820
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,821
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,822
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,823
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,824
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,825
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,826
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,827
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,828
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,829
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,830
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,831
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,832
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,833
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,834
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,835
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,836
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,837
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,838
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,839
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,840
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,841
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,842
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,843
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,844
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,845
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,846
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,847
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,848
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,849
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,850
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,851
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,852
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,853
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,854
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,855
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,856
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,857
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,858
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,859
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,860
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,861
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,862
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,863
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,864
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,865
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,866
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,867
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,868
Faith Militant Brother,Faith Militant,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,869
King's Landing Noble,None,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,870
King's Landing Noble,None,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,871
King's Landing Noble,None,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,872
King's Landing Noble,None,6,10,King's Landing,Cersei Lannister,House Lannister,Wildfire,873
