Name,Year,Variable,Value,Geography Type,Date,Location
Chelan County,2010,Percent High School Graduate or Higher,0.83,County,12/31/2010 12:00:00 AM,POINT (-120.619041 47.860974)
Pierce County,2015,Percent Associate's Degree or Higher,0.364,County,12/31/2015 12:00:00 AM,POINT (-122.153242 47.051415)
Clallam County,2013,Percent Associate's Degree,0.121,County,12/31/2013 12:00:00 AM,POINT (-123.88986 48.110903)
Spokane County,2010,Percent Associate's Degree,0.116,County,12/31/2010 12:00:00 AM,POINT (-117.403371 47.620375)
Spokane County,2014,Percent Associate's Degree,0.124,County,12/31/2014 12:00:00 AM,POINT (-117.403371 47.620375)
King County,2011,Graduate/Professional Degree,0.174,County,12/31/2011 12:00:00 AM,POINT (-121.833996 47.490599)
Island County,2016,Percent Associate's Degree,0.117,County,12/31/2016 12:00:00 AM,POINT (-122.670649 48.158554)
Snohomish County,2016,Percent Associate's Degree or Higher,0.419,County,12/31/2016 12:00:00 AM,POINT (-121.766412 48.054913)
King County,2015,Percent Bachelor's Degree or Higher,0.501,County,12/31/2015 12:00:00 AM,POINT (-121.833996 47.490599)
King County,2018,Percent High School Graduate or Higher,0.938,County,12/31/2018 12:00:00 AM,POINT (-121.833996 47.490599)
Grays Harbor County,2013,Percent High School Graduate or Higher,0.876,County,12/31/2013 12:00:00 AM,POINT (-123.826655 47.113999)
Pierce County,2016,Graduate/Professional Degree,0.09,County,12/31/2016 12:00:00 AM,POINT (-122.153242 47.051415)
Franklin County,2018,Graduate/Professional Degree,0.08,County,12/31/2018 12:00:00 AM,POINT (-118.906944 46.53458)
Thurston County,2016,Percent High School Graduate or Higher,0.939,County,12/31/2016 12:00:00 AM,POINT (-122.830152 46.935822)
Thurston County,2019,Graduate/Professional Degree,0.143,County,12/31/2019 12:00:00 AM,POINT (-122.830152 46.935822)
Whatcom County,2015,Percent Associate's Degree or Higher,0.436,County,12/31/2015 12:00:00 AM,POINT (-121.836432 48.842653)
Chelan County,2011,Graduate/Professional Degree,0.08,County,12/31/2011 12:00:00 AM,POINT (-120.619041 47.860974)
Kitsap County,2012,Graduate/Professional Degree,0.11,County,12/31/2012 12:00:00 AM,POINT (-122.649636 47.639687)
King County,2019,Graduate/Professional Degree,0.224,County,12/31/2019 12:00:00 AM,POINT (-121.833996 47.490599)
Clallam County,2010,Percent Associate's Degree or Higher,0.344,County,12/31/2010 12:00:00 AM,POINT (-123.88986 48.110903)
Spokane County,2014,Graduate/Professional Degree,0.108,County,12/31/2014 12:00:00 AM,POINT (-117.403371 47.620375)
Spokane County,2012,Percent Associate's Degree,0.114,County,12/31/2012 12:00:00 AM,POINT (-117.403371 47.620375)
Lewis County,2014,Percent High School Graduate or Higher,0.88,County,12/31/2014 12:00:00 AM,POINT (-122.377444 46.580071)
Skagit County,2016,Percent High School Graduate or Higher,0.896,County,12/31/2016 12:00:00 AM,POINT (-121.81577 48.493292)
Franklin County,2011,Percent High School Graduate or Higher,0.74,County,12/31/2011 12:00:00 AM,POINT (-118.906944 46.53458)
Whatcom County,2018,Percent High School Graduate or Higher,0.924,County,12/31/2018 12:00:00 AM,POINT (-121.836432 48.842653)
Whatcom County,2019,Percent High School Graduate or Higher,0.941,County,12/31/2019 12:00:00 AM,POINT (-121.836432 48.842653)
Clark County,2014,Percent High School Graduate or Higher,0.916,County,12/31/2014 12:00:00 AM,POINT (-122.485903 45.771674)
Clallam County,2015,Percent Associate's Degree or Higher,0.347,County,12/31/2015 12:00:00 AM,POINT (-123.88986 48.110903)
King County,2017,Percent Associate's Degree or Higher,0.597,County,12/31/2017 12:00:00 AM,POINT (-121.833996 47.490599)
Grant County,2014,Percent Associate's Degree or Higher,0.249,County,12/31/2014 12:00:00 AM,POINT (-119.467788 47.213633)
Franklin County,2019,Percent High School Graduate or Higher,0.725,County,12/31/2019 12:00:00 AM,POINT (-118.906944 46.53458)
Whatcom County,2010,Percent Associate's Degree or Higher,0.424,County,12/31/2010 12:00:00 AM,POINT (-121.836432 48.842653)
Pierce County,2019,Percent High School Graduate or Higher,0.92,County,12/31/2019 12:00:00 AM,POINT (-122.153242 47.051415)
Cowlitz County,2017,Percent Associate's Degree or Higher,0.28,County,12/31/2017 12:00:00 AM,POINT (-122.658682 46.185923)
Spokane County,2013,Percent High School Graduate or Higher,0.918,County,12/31/2013 12:00:00 AM,POINT (-117.403371 47.620375)
Franklin County,2013,Percent Associate's Degree,0.098,County,12/31/2013 12:00:00 AM,POINT (-118.906944 46.53458)
Snohomish County,2012,Percent Associate's Degree or Higher,0.398,County,12/31/2012 12:00:00 AM,POINT (-121.766412 48.054913)
Grays Harbor County,2014,Graduate/Professional Degree,0.057,County,12/31/2014 12:00:00 AM,POINT (-123.826655 47.113999)
Grays Harbor County,2010,Percent Associate's Degree,0.098,County,12/31/2010 12:00:00 AM,POINT (-123.826655 47.113999)
King County,2010,Percent High School Graduate or Higher,0.92,County,12/31/2010 12:00:00 AM,POINT (-121.833996 47.490599)
King County,2017,Percent High School Graduate or Higher,0.929,County,12/31/2017 12:00:00 AM,POINT (-121.833996 47.490599)
Benton County,2012,Percent Associate's Degree,0.104,County,12/31/2012 12:00:00 AM,POINT (-119.516666 46.22812)
Pierce County,2010,Percent Associate's Degree or Higher,0.334,County,12/31/2010 12:00:00 AM,POINT (-122.153242 47.051415)
Benton County,2017,Graduate/Professional Degree,0.119,County,12/31/2017 12:00:00 AM,POINT (-119.516666 46.22812)
Yakima County,2014,Percent Associate's Degree,0.087,County,12/31/2014 12:00:00 AM,POINT (-120.740145 46.456558)
Snohomish County,2013,Graduate/Professional Degree,0.089,County,12/31/2013 12:00:00 AM,POINT (-121.766412 48.054913)
Whatcom County,2010,Percent High School Graduate or Higher,0.921,County,12/31/2010 12:00:00 AM,POINT (-121.836432 48.842653)
Grant County,2015,Percent Associate's Degree,0.073,County,12/31/2015 12:00:00 AM,POINT (-119.467788 47.213633)
Island County,2012,Percent Associate's Degree,0.117,County,12/31/2012 12:00:00 AM,POINT (-122.670649 48.158554)
Chelan County,2015,Percent Bachelor's Degree or Higher,0.233,County,12/31/2015 12:00:00 AM,POINT (-120.619041 47.860974)
Pierce County,2018,Graduate/Professional Degree,0.101,County,12/31/2018 12:00:00 AM,POINT (-122.153242 47.051415)
Whatcom County,2017,Percent High School Graduate or Higher,0.936,County,12/31/2017 12:00:00 AM,POINT (-121.836432 48.842653)
Grays Harbor County,2015,Graduate/Professional Degree,0.05,County,12/31/2015 12:00:00 AM,POINT (-123.826655 47.113999)
Island County,2013,Percent Bachelor's Degree or Higher,0.317,County,12/31/2013 12:00:00 AM,POINT (-122.670649 48.158554)
Spokane County,2019,Percent Associate's Degree,0.133,County,12/31/2019 12:00:00 AM,POINT (-117.403371 47.620375)
Franklin County,2010,Graduate/Professional Degree,0.048,County,12/31/2010 12:00:00 AM,POINT (-118.906944 46.53458)
Snohomish County,2011,Graduate/Professional Degree,0.081,County,12/31/2011 12:00:00 AM,POINT (-121.766412 48.054913)
Chelan County,2012,Graduate/Professional Degree,0.075,County,12/31/2012 12:00:00 AM,POINT (-120.619041 47.860974)
Grays Harbor County,2010,Percent Associate's Degree or Higher,0.256,County,12/31/2010 12:00:00 AM,POINT (-123.826655 47.113999)
Chelan County,2019,Graduate/Professional Degree,0.076,County,12/31/2019 12:00:00 AM,POINT (-120.619041 47.860974)
Island County,2010,Graduate/Professional Degree,0.118,County,12/31/2010 12:00:00 AM,POINT (-122.670649 48.158554)
Clark County,2011,Percent Associate's Degree,0.108,County,12/31/2011 12:00:00 AM,POINT (-122.485903 45.771674)
Island County,2015,Percent Associate's Degree or Higher,0.433,County,12/31/2015 12:00:00 AM,POINT (-122.670649 48.158554)
Thurston County,2015,Percent Bachelor's Degree or Higher,0.327,County,12/31/2015 12:00:00 AM,POINT (-122.830152 46.935822)
Whatcom County,2012,Graduate/Professional Degree,0.098,County,12/31/2012 12:00:00 AM,POINT (-121.836432 48.842653)
Washington,2011,Percent Associate's Degree or Higher,0.416,State,12/31/2011 12:00:00 AM,POINT (47.4073238 -120.5757999)
Chelan County,2017,Percent High School Graduate or Higher,0.832,County,12/31/2017 12:00:00 AM,POINT (-120.619041 47.860974)
Chelan County,2016,Percent Associate's Degree,0.103,County,12/31/2016 12:00:00 AM,POINT (-120.619041 47.860974)
Clark County,2013,Percent Associate's Degree,0.112,County,12/31/2013 12:00:00 AM,POINT (-122.485903 45.771674)
King County,2012,Graduate/Professional Degree,0.173,County,12/31/2012 12:00:00 AM,POINT (-121.833996 47.490599)
Kitsap County,2014,Graduate/Professional Degree,0.121,County,12/31/2014 12:00:00 AM,POINT (-122.649636 47.639687)
Thurston County,2010,Graduate/Professional Degree,0.117,County,12/31/2010 12:00:00 AM,POINT (-122.830152 46.935822)
Thurston County,2017,Graduate/Professional Degree,0.136,County,12/31/2017 12:00:00 AM,POINT (-122.830152 46.935822)
Lewis County,2013,Percent Associate's Degree or Higher,0.252,County,12/31/2013 12:00:00 AM,POINT (-122.377444 46.580071)
Cowlitz County,2012,Percent Associate's Degree or Higher,0.264,County,12/31/2012 12:00:00 AM,POINT (-122.658682 46.185923)
Island County,2015,Percent Bachelor's Degree or Higher,0.322,County,12/31/2015 12:00:00 AM,POINT (-122.670649 48.158554)
Cowlitz County,2011,Graduate/Professional Degree,0.066,County,12/31/2011 12:00:00 AM,POINT (-122.658682 46.185923)
Clallam County,2014,Graduate/Professional Degree,0.1,County,12/31/2014 12:00:00 AM,POINT (-123.88986 48.110903)
Grant County,2018,Graduate/Professional Degree,0.047,County,12/31/2018 12:00:00 AM,POINT (-119.467788 47.213633)
Franklin County,2017,Percent Bachelor's Degree or Higher,0.161,County,12/31/2017 12:00:00 AM,POINT (-118.906944 46.53458)
Kitsap County,2016,Percent High School Graduate or Higher,0.936,County,12/31/2016 12:00:00 AM,POINT (-122.649636 47.639687)
Clallam County,2011,Percent Associate's Degree or Higher,0.359,County,12/31/2011 12:00:00 AM,POINT (-123.88986 48.110903)
Chelan County,2014,Percent Associate's Degree or Higher,0.364,County,12/31/2014 12:00:00 AM,POINT (-120.619041 47.860974)
Spokane County,2015,Graduate/Professional Degree,0.106,County,12/31/2015 12:00:00 AM,POINT (-117.403371 47.620375)
Clark County,2016,Graduate/Professional Degree,0.105,County,12/31/2016 12:00:00 AM,POINT (-122.485903 45.771674)
Island County,2019,Graduate/Professional Degree,0.145,County,12/31/2019 12:00:00 AM,POINT (-122.670649 48.158554)
Kitsap County,2018,Percent High School Graduate or Higher,0.954,County,12/31/2018 12:00:00 AM,POINT (-122.649636 47.639687)
Whatcom County,2016,Percent Bachelor's Degree or Higher,0.329,County,12/31/2016 12:00:00 AM,POINT (-121.836432 48.842653)
Thurston County,2018,Percent High School Graduate or Higher,0.947,County,12/31/2018 12:00:00 AM,POINT (-122.830152 46.935822)
Snohomish County,2015,Percent Associate's Degree,0.099,County,12/31/2015 12:00:00 AM,POINT (-121.766412 48.054913)
Snohomish County,2011,Percent Associate's Degree or Higher,0.388,County,12/31/2011 12:00:00 AM,POINT (-121.766412 48.054913)
Chelan County,2014,Percent Associate's Degree,0.09,County,12/31/2014 12:00:00 AM,POINT (-120.619041 47.860974)
Grant County,2018,Percent Associate's Degree or Higher,0.251,County,12/31/2018 12:00:00 AM,POINT (-119.467788 47.213633)
Lewis County,2013,Graduate/Professional Degree,0.035,County,12/31/2013 12:00:00 AM,POINT (-122.377444 46.580071)
Thurston County,2012,Percent Associate's Degree,0.095,County,12/31/2012 12:00:00 AM,POINT (-122.830152 46.935822)
King County,2016,Percent Bachelor's Degree or Higher,0.514,County,12/31/2016 12:00:00 AM,POINT (-121.833996 47.490599)
Cowlitz County,2019,Percent High School Graduate or Higher,0.899,County,12/31/2019 12:00:00 AM,POINT (-122.658682 46.185923)
Cowlitz County,2017,Percent High School Graduate or Higher,0.889,County,12/31/2017 12:00:00 AM,POINT (-122.658682 46.185923)
Skagit County,2018,Graduate/Professional Degree,0.09,County,12/31/2018 12:00:00 AM,POINT (-121.81577 48.493292)
Grant County,2013,Percent Associate's Degree or Higher,0.256,County,12/31/2013 12:00:00 AM,POINT (-119.467788 47.213633)
Washington,2013,Graduate/Professional Degree,0.118,State,12/31/2013 12:00:00 AM,POINT (47.4073238 -120.5757999)
Clallam County,2018,Percent High School Graduate or Higher,0.938,County,12/31/2018 12:00:00 AM,POINT (-123.88986 48.110903)
Benton County,2017,Percent Associate's Degree or Higher,0.388,County,12/31/2017 12:00:00 AM,POINT (-119.516666 46.22812)
Washington,2011,Percent Associate's Degree,0.097,State,12/31/2011 12:00:00 AM,POINT (47.4073238 -120.5757999)
Skagit County,2017,Percent Bachelor's Degree or Higher,0.28,County,12/31/2017 12:00:00 AM,POINT (-121.81577 48.493292)
Benton County,2019,Graduate/Professional Degree,0.118,County,12/31/2019 12:00:00 AM,POINT (-119.516666 46.22812)
Mason County,2018,Percent Associate's Degree or Higher,0.316,County,12/31/2018 12:00:00 AM,POINT (-123.17385 47.354126)
Benton County,2015,Percent Bachelor's Degree or Higher,0.295,County,12/31/2015 12:00:00 AM,POINT (-119.516666 46.22812)
Clallam County,2010,Graduate/Professional Degree,0.097,County,12/31/2010 12:00:00 AM,POINT (-123.88986 48.110903)
Grays Harbor County,2012,Percent Associate's Degree,0.099,County,12/31/2012 12:00:00 AM,POINT (-123.826655 47.113999)
Thurston County,2019,Percent Associate's Degree or Higher,0.453,County,12/31/2019 12:00:00 AM,POINT (-122.830152 46.935822)
Whatcom County,2014,Percent Associate's Degree,0.098,County,12/31/2014 12:00:00 AM,POINT (-121.836432 48.842653)
Skagit County,2010,Graduate/Professional Degree,0.091,County,12/31/2010 12:00:00 AM,POINT (-121.81577 48.493292)
King County,2014,Percent Associate's Degree,0.085,County,12/31/2014 12:00:00 AM,POINT (-121.833996 47.490599)
Clallam County,2012,Graduate/Professional Degree,0.079,County,12/31/2012 12:00:00 AM,POINT (-123.88986 48.110903)
Island County,2017,Graduate/Professional Degree,0.128,County,12/31/2017 12:00:00 AM,POINT (-122.670649 48.158554)
Spokane County,2011,Graduate/Professional Degree,0.111,County,12/31/2011 12:00:00 AM,POINT (-117.403371 47.620375)
Chelan County,2013,Percent Associate's Degree or Higher,0.284,County,12/31/2013 12:00:00 AM,POINT (-120.619041 47.860974)
Pierce County,2017,Percent High School Graduate or Higher,0.917,County,12/31/2017 12:00:00 AM,POINT (-122.153242 47.051415)
Skagit County,2019,Percent Bachelor's Degree or Higher,0.27,County,12/31/2019 12:00:00 AM,POINT (-121.81577 48.493292)
Franklin County,2015,Percent Associate's Degree,0.089,County,12/31/2015 12:00:00 AM,POINT (-118.906944 46.53458)
Cowlitz County,2016,Percent Bachelor's Degree or Higher,0.171,County,12/31/2016 12:00:00 AM,POINT (-122.658682 46.185923)
Benton County,2019,Percent Associate's Degree or Higher,0.434,County,12/31/2019 12:00:00 AM,POINT (-119.516666 46.22812)
King County,2012,Percent Associate's Degree or Higher,0.543,County,12/31/2012 12:00:00 AM,POINT (-121.833996 47.490599)
Grays Harbor County,2011,Graduate/Professional Degree,0.039,County,12/31/2011 12:00:00 AM,POINT (-123.826655 47.113999)
Clallam County,2014,Percent Associate's Degree,0.113,County,12/31/2014 12:00:00 AM,POINT (-123.88986 48.110903)
Whatcom County,2015,Percent Bachelor's Degree or Higher,0.33,County,12/31/2015 12:00:00 AM,POINT (-121.836432 48.842653)
Cowlitz County,2013,Percent Associate's Degree,0.076,County,12/31/2013 12:00:00 AM,POINT (-122.658682 46.185923)
Thurston County,2013,Percent Associate's Degree or Higher,0.43,County,12/31/2013 12:00:00 AM,POINT (-122.830152 46.935822)
Clallam County,2016,Percent Associate's Degree,0.098,County,12/31/2016 12:00:00 AM,POINT (-123.88986 48.110903)
Lewis County,2011,Percent Associate's Degree,0.107,County,12/31/2011 12:00:00 AM,POINT (-122.377444 46.580071)
Thurston County,2012,Graduate/Professional Degree,0.117,County,12/31/2012 12:00:00 AM,POINT (-122.830152 46.935822)
Cowlitz County,2014,Percent Bachelor's Degree or Higher,0.147,County,12/31/2014 12:00:00 AM,POINT (-122.658682 46.185923)
Franklin County,2016,Percent Associate's Degree or Higher,0.251,County,12/31/2016 12:00:00 AM,POINT (-118.906944 46.53458)
Washington,2010,Graduate/Professional Degree,0.111,State,12/31/2010 12:00:00 AM,POINT (47.4073238 -120.5757999)
Yakima County,2016,Percent High School Graduate or Higher,0.748,County,12/31/2016 12:00:00 AM,POINT (-120.740145 46.456558)
Grays Harbor County,2019,Graduate/Professional Degree,0.079,County,12/31/2019 12:00:00 AM,POINT (-123.826655 47.113999)
Island County,2012,Graduate/Professional Degree,0.125,County,12/31/2012 12:00:00 AM,POINT (-122.670649 48.158554)
Snohomish County,2016,Graduate/Professional Degree,0.101,County,12/31/2016 12:00:00 AM,POINT (-121.766412 48.054913)
Grays Harbor County,2018,Graduate/Professional Degree,0.046,County,12/31/2018 12:00:00 AM,POINT (-123.826655 47.113999)
Skagit County,2014,Percent Associate's Degree or Higher,0.372,County,12/31/2014 12:00:00 AM,POINT (-121.81577 48.493292)
Lewis County,2018,Percent High School Graduate or Higher,0.894,County,12/31/2018 12:00:00 AM,POINT (-122.377444 46.580071)
Washington,2015,Percent Associate's Degree,0.096,State,12/31/2015 12:00:00 AM,POINT (47.4073238 -120.5757999)
Benton County,2018,Percent High School Graduate or Higher,0.896,County,12/31/2018 12:00:00 AM,POINT (-119.516666 46.22812)
Lewis County,2016,Percent High School Graduate or Higher,0.887,County,12/31/2016 12:00:00 AM,POINT (-122.377444 46.580071)
Washington,2017,Graduate/Professional Degree,0.133,State,12/31/2017 12:00:00 AM,POINT (47.4073238 -120.5757999)
Clallam County,2016,Graduate/Professional Degree,0.091,County,12/31/2016 12:00:00 AM,POINT (-123.88986 48.110903)
Grays Harbor County,2017,Percent High School Graduate or Higher,0.893,County,12/31/2017 12:00:00 AM,POINT (-123.826655 47.113999)
King County,2018,Percent Bachelor's Degree or Higher,0.532,County,12/31/2018 12:00:00 AM,POINT (-121.833996 47.490599)
Clallam County,2018,Percent Associate's Degree or Higher,0.415,County,12/31/2018 12:00:00 AM,POINT (-123.88986 48.110903)
Thurston County,2016,Percent Bachelor's Degree or Higher,0.352,County,12/31/2016 12:00:00 AM,POINT (-122.830152 46.935822)
Skagit County,2012,Percent Associate's Degree,0.091,County,12/31/2012 12:00:00 AM,POINT (-121.81577 48.493292)
Spokane County,2018,Percent High School Graduate or Higher,0.934,County,12/31/2018 12:00:00 AM,POINT (-117.403371 47.620375)
Cowlitz County,2011,Percent Associate's Degree,0.096,County,12/31/2011 12:00:00 AM,POINT (-122.658682 46.185923)
Spokane County,2017,Percent High School Graduate or Higher,0.939,County,12/31/2017 12:00:00 AM,POINT (-117.403371 47.620375)
King County,2011,Percent Associate's Degree or Higher,0.539,County,12/31/2011 12:00:00 AM,POINT (-121.833996 47.490599)
Yakima County,2014,Graduate/Professional Degree,0.05,County,12/31/2014 12:00:00 AM,POINT (-120.740145 46.456558)
Chelan County,2018,Percent Bachelor's Degree or Higher,0.264,County,12/31/2018 12:00:00 AM,POINT (-120.619041 47.860974)
Island County,2019,Percent Associate's Degree or Higher,0.473,County,12/31/2019 12:00:00 AM,POINT (-122.670649 48.158554)
Thurston County,2018,Percent Associate's Degree or Higher,0.482,County,12/31/2018 12:00:00 AM,POINT (-122.830152 46.935822)
Snohomish County,2018,Graduate/Professional Degree,0.106,County,12/31/2018 12:00:00 AM,POINT (-121.766412 48.054913)
Island County,2016,Percent Bachelor's Degree or Higher,0.311,County,12/31/2016 12:00:00 AM,POINT (-122.670649 48.158554)
Clark County,2019,Percent High School Graduate or Higher,0.935,County,12/31/2019 12:00:00 AM,POINT (-122.485903 45.771674)
Clark County,2018,Percent High School Graduate or Higher,0.933,County,12/31/2018 12:00:00 AM,POINT (-122.485903 45.771674)
Snohomish County,2015,Graduate/Professional Degree,0.099,County,12/31/2015 12:00:00 AM,POINT (-121.766412 48.054913)
Spokane County,2018,Percent Associate's Degree or Higher,0.451,County,12/31/2018 12:00:00 AM,POINT (-117.403371 47.620375)
Clark County,2012,Graduate/Professional Degree,0.09,County,12/31/2012 12:00:00 AM,POINT (-122.485903 45.771674)
Clark County,2015,Percent Associate's Degree or Higher,0.376,County,12/31/2015 12:00:00 AM,POINT (-122.485903 45.771674)
Washington,2018,Graduate/Professional Degree,0.139,State,12/31/2018 12:00:00 AM,POINT (47.4073238 -120.5757999)
Clark County,2010,Graduate/Professional Degree,0.088,County,12/31/2010 12:00:00 AM,POINT (-122.485903 45.771674)
Pierce County,2011,Graduate/Professional Degree,0.085,County,12/31/2011 12:00:00 AM,POINT (-122.153242 47.051415)
Pierce County,2019,Percent Associate's Degree or Higher,0.398,County,12/31/2019 12:00:00 AM,POINT (-122.153242 47.051415)
Clallam County,2017,Graduate/Professional Degree,0.122,County,12/31/2017 12:00:00 AM,POINT (-123.88986 48.110903)
Kitsap County,2010,Graduate/Professional Degree,0.101,County,12/31/2010 12:00:00 AM,POINT (-122.649636 47.639687)
Pierce County,2019,Percent Bachelor's Degree or Higher,0.282,County,12/31/2019 12:00:00 AM,POINT (-122.153242 47.051415)
Pierce County,2014,Percent Bachelor's Degree or Higher,0.246,County,12/31/2014 12:00:00 AM,POINT (-122.153242 47.051415)
Franklin County,2016,Percent Bachelor's Degree or Higher,0.162,County,12/31/2016 12:00:00 AM,POINT (-118.906944 46.53458)
Lewis County,2017,Graduate/Professional Degree,0.078,County,12/31/2017 12:00:00 AM,POINT (-122.377444 46.580071)
Skagit County,2011,Percent High School Graduate or Higher,0.867,County,12/31/2011 12:00:00 AM,POINT (-121.81577 48.493292)
Yakima County,2010,Graduate/Professional Degree,0.054,County,12/31/2010 12:00:00 AM,POINT (-120.740145 46.456558)
Pierce County,2011,Percent Associate's Degree,0.107,County,12/31/2011 12:00:00 AM,POINT (-122.153242 47.051415)
Franklin County,2014,Percent Bachelor's Degree or Higher,0.16,County,12/31/2014 12:00:00 AM,POINT (-118.906944 46.53458)
Washington,2012,Graduate/Professional Degree,0.113,State,12/31/2012 12:00:00 AM,POINT (47.4073238 -120.5757999)
Grant County,2011,Graduate/Professional Degree,0.063,County,12/31/2011 12:00:00 AM,POINT (-119.467788 47.213633)
Chelan County,2013,Percent Associate's Degree,0.06,County,12/31/2013 12:00:00 AM,POINT (-120.619041 47.860974)
Thurston County,2019,Percent Associate's Degree,0.109,County,12/31/2019 12:00:00 AM,POINT (-122.830152 46.935822)
Benton County,2010,Percent High School Graduate or Higher,0.882,County,12/31/2010 12:00:00 AM,POINT (-119.516666 46.22812)
Kitsap County,2016,Percent Associate's Degree or Higher,0.419,County,12/31/2016 12:00:00 AM,POINT (-122.649636 47.639687)
Grant County,2013,Percent High School Graduate or Higher,0.755,County,12/31/2013 12:00:00 AM,POINT (-119.467788 47.213633)
Yakima County,2017,Graduate/Professional Degree,0.07,County,12/31/2017 12:00:00 AM,POINT (-120.740145 46.456558)
Kitsap County,2014,Percent Associate's Degree,0.107,County,12/31/2014 12:00:00 AM,POINT (-122.649636 47.639687)
Washington,2019,Graduate/Professional Degree,0.142,State,12/31/2019 12:00:00 AM,POINT (47.4073238 -120.5757999)
Lewis County,2012,Graduate/Professional Degree,0.078,County,12/31/2012 12:00:00 AM,POINT (-122.377444 46.580071)
Grays Harbor County,2016,Percent Associate's Degree,0.103,County,12/31/2016 12:00:00 AM,POINT (-123.826655 47.113999)
Whatcom County,2013,Percent Bachelor's Degree or Higher,0.322,County,12/31/2013 12:00:00 AM,POINT (-121.836432 48.842653)
Skagit County,2015,Percent Associate's Degree or Higher,0.352,County,12/31/2015 12:00:00 AM,POINT (-121.81577 48.493292)
Spokane County,2016,Graduate/Professional Degree,0.115,County,12/31/2016 12:00:00 AM,POINT (-117.403371 47.620375)
Cowlitz County,2018,Graduate/Professional Degree,0.054,County,12/31/2018 12:00:00 AM,POINT (-122.658682 46.185923)
Kitsap County,2019,Graduate/Professional Degree,0.118,County,12/31/2019 12:00:00 AM,POINT (-122.649636 47.639687)
Washington,2014,Percent High School Graduate or Higher,0.904,State,12/31/2014 12:00:00 AM,POINT (47.4073238 -120.5757999)
Washington,2016,Percent High School Graduate or Higher,0.908,State,12/31/2016 12:00:00 AM,POINT (47.4073238 -120.5757999)
Island County,2018,Percent High School Graduate or Higher,0.954,County,12/31/2018 12:00:00 AM,POINT (-122.670649 48.158554)
Pierce County,2016,Percent High School Graduate or Higher,0.909,County,12/31/2016 12:00:00 AM,POINT (-122.153242 47.051415)
Franklin County,2017,Percent Associate's Degree or Higher,0.246,County,12/31/2017 12:00:00 AM,POINT (-118.906944 46.53458)
Mason County,2019,Graduate/Professional Degree,0.086,County,12/31/2019 12:00:00 AM,POINT (-123.17385 47.354126)
Thurston County,2019,Percent High School Graduate or Higher,0.934,County,12/31/2019 12:00:00 AM,POINT (-122.830152 46.935822)
Grant County,2017,Percent High School Graduate or Higher,0.765,County,12/31/2017 12:00:00 AM,POINT (-119.467788 47.213633)
Franklin County,2018,Percent High School Graduate or Higher,0.727,County,12/31/2018 12:00:00 AM,POINT (-118.906944 46.53458)
Yakima County,2018,Percent High School Graduate or Higher,0.735,County,12/31/2018 12:00:00 AM,POINT (-120.740145 46.456558)
Benton County,2014,Percent Associate's Degree or Higher,0.409,County,12/31/2014 12:00:00 AM,POINT (-119.516666 46.22812)
Yakima County,2015,Percent Associate's Degree or Higher,0.243,County,12/31/2015 12:00:00 AM,POINT (-120.740145 46.456558)
Yakima County,2014,Percent Associate's Degree or Higher,0.232,County,12/31/2014 12:00:00 AM,POINT (-120.740145 46.456558)
Snohomish County,2013,Percent High School Graduate or Higher,0.915,County,12/31/2013 12:00:00 AM,POINT (-121.766412 48.054913)
Clark County,2015,Percent Associate's Degree,0.101,County,12/31/2015 12:00:00 AM,POINT (-122.485903 45.771674)
Whatcom County,2017,Percent Associate's Degree or Higher,0.479,County,12/31/2017 12:00:00 AM,POINT (-121.836432 48.842653)
Grant County,2019,Percent High School Graduate or Higher,0.773,County,12/31/2019 12:00:00 AM,POINT (-119.467788 47.213633)
Snohomish County,2017,Percent High School Graduate or Higher,0.928,County,12/31/2017 12:00:00 AM,POINT (-121.766412 48.054913)
Grant County,2015,Graduate/Professional Degree,0.061,County,12/31/2015 12:00:00 AM,POINT (-119.467788 47.213633)
Island County,2016,Graduate/Professional Degree,0.133,County,12/31/2016 12:00:00 AM,POINT (-122.670649 48.158554)
Grays Harbor County,2015,Percent High School Graduate or Higher,0.904,County,12/31/2015 12:00:00 AM,POINT (-123.826655 47.113999)
Thurston County,2010,Percent Associate's Degree or Higher,0.415,County,12/31/2010 12:00:00 AM,POINT (-122.830152 46.935822)
Chelan County,2012,Percent High School Graduate or Higher,0.835,County,12/31/2012 12:00:00 AM,POINT (-120.619041 47.860974)
Island County,2010,Percent Associate's Degree,0.098,County,12/31/2010 12:00:00 AM,POINT (-122.670649 48.158554)
Island County,2010,Percent High School Graduate or Higher,0.962,County,12/31/2010 12:00:00 AM,POINT (-122.670649 48.158554)
Whatcom County,2011,Percent Associate's Degree,0.116,County,12/31/2011 12:00:00 AM,POINT (-121.836432 48.842653)
Grant County,2013,Percent Associate's Degree,0.112,County,12/31/2013 12:00:00 AM,POINT (-119.467788 47.213633)
Lewis County,2010,Graduate/Professional Degree,0.042,County,12/31/2010 12:00:00 AM,POINT (-122.377444 46.580071)
Island County,2012,Percent Associate's Degree or Higher,0.437,County,12/31/2012 12:00:00 AM,POINT (-122.670649 48.158554)
Benton County,2012,Graduate/Professional Degree,0.117,County,12/31/2012 12:00:00 AM,POINT (-119.516666 46.22812)
Franklin County,2019,Graduate/Professional Degree,0.055,County,12/31/2019 12:00:00 AM,POINT (-118.906944 46.53458)
